Componente Principal 1,Componente Principal 2
38788.40998344755,-7.004260696057201
-103277.58961207046,26.137698592573994
17015.411085827964,75.93842236368297
-4811.589472475142,30.261613581107145
116442.4103035853,18.762782291784326
-212941.48448988798,-24.157146546965084
24922.41004414103,-2.277346889076969
-212940.2598471582,-24.43921849306646
-212940.14969888318,2.7736594517888364
-59251.59024388953,-23.42359662689502
-66144.59064909126,-54.378921111824866
-33624.59011541048,-14.23243425965444
-58651.59015161971,-17.017093234875652
4584.409678908748,-29.784968057526203
70068.41069622486,48.10658071873856
-75072.58948392989,36.11862602167162
-74944.58946578609,38.092058398765616
96922.4097513366,-25.36815775524208
44415.41017212188,9.40911997913362
-8664.589683500417,21.270002026515357
-15784.589938464338,-1.9444219867274255
-32122.58995322826,-1.370980987464999
34425.41103058055,71.51873876685694
-82615.58929464266,48.384633189023376
125347.40977447647,-19.5135136922217
20984.410549991353,36.62469073957942
-27851.590083232135,-12.642870273457616
141415.41013867056,2.5909346160508018
107468.4097839208,-21.599100980906798
72988.4100124779,-3.883111693494231
-212941.57566697727,-42.15469716314177
-31976.590369661055,-33.52878975562906
-16477.589768706563,13.464299882397466
-32411.590315933885,-27.41193754179574
139322.4097135348,-22.415411531478547
-5479.590485273137,-38.74214418845258
75126.41027986803,16.17721181139193
110986.41046973155,31.30275216907438
-212941.01150267583,-30.95786900064059
-877.5904522218582,-38.0748002579913
77495.40961682043,-36.65547729621218
-18377.58985472807,7.370687822488893
24548.410235591196,11.353638476800635
-21054.59022678329,-20.555727261099744
94600.40988399375,-14.16251615132169
7664.410422595332,25.89637767733539
-14599.590302029575,-28.777477276450313
-6184.590357767805,-29.346506865136504
17082.409869150986,-16.40224503554598
16672.40990471392,-14.09425124304101
135438.41026303786,18.498586289932867
15322.409663856866,-29.028305593007644
-76384.58987984857,8.212993762495213
-212939.60770595862,-8.331436091972389
-67892.59031856418,-30.03304070001649
-25117.58984790114,12.013426196145904
26543.409907486202,-13.192795540731879
58388.4102960073,18.784185665019812
45826.41048273401,36.30038532230196
57260.41045409515,28.36791637266465
27055.41013465406,4.730691927177724
25055.410261226923,18.358372023037912
43455.41001834689,-5.152485945449697
22269.409804314568,-20.1551748419333
-397.5895302000035,29.160514945983813
-41824.589911812414,0.7032234092159076
56495.41036680232,23.13557679002627
598132.4101734255,6.921553002217567
-212941.0440834634,7.790272381765156
74522.4103695264,21.09418783763047
-212941.78210634657,42.614032692828026
96882.41043046834,27.904482590655093
-11731.59003301705,-6.961178642806468
-212938.53423423963,14.820574343508229
77521.40958736684,-34.08207849940129
57159.41000066138,-7.666061770705113
32322.409687860145,-27.51398364353587
-47757.59044133999,-32.985908199646225
-7411.5902921864445,-24.827083710306113
-13171.59038992326,-35.81684960168052
1988.4095259958767,-39.46082216663463
-145224.5897404432,16.24385648102499
-17.58936298745132,42.204087755226254
118359.41071476202,53.47090329339829
174602.41038661642,26.661981903669396
12127.409751896015,-23.980512419662084
78868.4098229378,-21.498976887824455
88588.4106709635,45.88833552827638
-212938.85509556017,-24.636734940019867
-56011.59091144087,-71.2098185532396
-212941.74317764826,-11.239644347207618
36055.41025557973,14.788377099451347
-10925.589702288258,17.331732008886988
6680.410148200097,9.54935520723558
-212937.6864886635,-2.4819955258500888
48295.4106320437,41.49544695282094
-212939.83219915238,-9.099412692034232
42135.410541930905,33.55508287818219
-36932.59020863926,-22.32508324475919
-24114.589826997577,9.585122696586666
17207.4099683221,-7.107692748684849
53188.41039178638,24.529044591817573
46482.40982733905,-14.801070486224331
42948.41096929554,66.59919051010311
-83571.59012739258,-14.28118956540393
11268.410030567109,-3.013394886282704
-32741.59012813717,-12.492693353929722
-43136.58991871247,-0.9959727952539192
-4523.5900434419555,-8.840578113534518
-14104.58988432811,2.352468143108111
-101179.59009949201,-8.601799411812651
-212939.49619447376,17.854807179813324
147655.4094630882,-43.88117112303925
-67012.5891994761,58.048408896419126
-25011.58976255023,13.610745357844305
99418.40953502954,-40.20689210635461
5228.410026114532,-2.1478339532751796
-212941.51954611455,9.736494996546815
85748.41042145622,28.484595942517803
-16337.589906945685,0.24781913313825224
107388.40929466813,-56.46112726646323
110485.40957758744,-33.36775132439723
-3677.5898353369475,4.032860658934333
